LR_Training_5fold_piT5
[K_Fold] λ = 0.000127 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.130681
[K_Fold] λ = 0.000298 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.131775
[K_Fold] λ = 0.000695 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.132439
[K_Fold] λ = 0.001624 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.136849
[K_Fold] λ = 0.003793 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.140626
[K_Fold] λ = 0.008859 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.147209
[K_Fold] λ = 0.020691 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.151541
[K_Fold] λ = 0.048329 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.156335
[K_Fold] λ = 0.112884 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.158046
[K_Fold] λ = 0.263665 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.162487
[K_Fold] λ = 0.615848 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.163797
[K_Fold] λ = 1.438450 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.164306
[K_Fold] λ = 3.359818 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.164645
[K_Fold] λ = 7.847600 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.163658
[K_Fold] λ = 18.329807 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.163288
[K_Fold] λ = 42.813324 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.163165
[K_Fold] λ = 100.000000 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.163905
[K_Fold] λ = 0.000010 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.521648
[K_Fold] λ = 0.000023 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.520044
[K_Fold] λ = 0.000055 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.520168
[K_Fold] λ = 0.000127 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.519935
[K_Fold] λ = 0.000298 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.520306
[K_Fold] λ = 0.000695 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.524992
[K_Fold] λ = 0.001624 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.517527
[K_Fold] λ = 0.003793 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.518927
[K_Fold] λ = 0.008859 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.526850
[K_Fold] λ = 0.020691 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.557147
[K_Fold] λ = 0.048329 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.587646
[K_Fold] λ = 0.112884 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.608563
[K_Fold] λ = 0.263665 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.620773
[K_Fold] λ = 0.615848 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.635203
[K_Fold] λ = 1.438450 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.632026
[K_Fold] λ = 3.359818 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.635942
[K_Fold] λ = 7.847600 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.634462
[K_Fold] λ = 18.329807 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.634462
[K_Fold] λ = 42.813324 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.634339
[K_Fold] λ = 100.000000 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.637792
[K_Fold] λ = 0.000010 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.230062
[K_Fold] λ = 0.000023 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.231202
[K_Fold] λ = 0.000055 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.230986
[K_Fold] λ = 0.000127 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.231742
[K_Fold] λ = 0.000298 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.232744
[K_Fold] λ = 0.000695 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.238049
[K_Fold] λ = 0.001624 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.244709
[K_Fold] λ = 0.003793 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.256595
[K_Fold] λ = 0.008859 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.267173
[K_Fold] λ = 0.020691 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.272663
[K_Fold] λ = 0.048329 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.281760
